book_id,title,death_year,extent_bytes,category,matched_keywords
24890,"The prophete Ionas with an introduccion
before teachinge to vnderstonde him and the right vse also of all the scripture/ and why it was written/ and what is therin to be sought/ and shewenge wherewith the scripture is locked vpp that he which readeth it/ can not vnderstonde it/ though he studie therin neuer so moch: and agayne with what keyes it is so opened/ that the reader can be stopped out with no sotilte or false doctrine of man/ from the true sense and vnderstondynge therof.",1536,72610,other,
2562,The Clouds,-388,115879,other,
257,Troilus and Criseyde,1400,521436,other,
2571,Peace,-388,113083,other,
25761,St. Bernard of Clairvaux's Life of St. Malachy of Armagh,1153,532203,other,
25856,The Form of Perfect Living and Other Prose Treatises,1349,202981,other,
26073,"The Metamorphoses of Ovid, Books VIII-XV",17,853862,other,
26095,The Athenian Constitution,-322,164596,other,
26222,The Imitation of Christ,1471,23090,other,
26245,The History of the Peloponnesian War,-395,24674,other,
26253,The Prince,1527,23862,other,
266,"Confessio Amantis; Or, Tales of the Seven Deadly Sins",1408,1159057,other,
2680,Meditations,180,425350,other,
2707,The History of Herodotus — Volume 1,-430,915847,other,
27458,Aeschylus' Prometheus Bound and the Seven Against Thebes,-456,190406,other,
27673,"Oedipus King of Thebes
Translated into English Rhyming Verse with Explanatory Notes",-406,131798,other,
2808,Treatises on Friendship and Old Age,-43,187162,other,
2812,Letters of Marcus Tullius Cicero,-43,253167,other,
28338,The Education of Children,1536,166747,other,
28621,The Metamorphoses of Publius Ovidus Naso in English blank verse Vols. I & II,17,765202,other,
28797,The Odyssey,-650,24263,other,
29068,"An Introductorie for to Lerne to Read, To Pronounce, and to Speke French Trewly",1535,557567,other,
29214,Dialogues in French and English,1491,262577,other,
29247,"The Academic Questions, Treatise De Finibus, and Tusculan Disputations, of M.T. Cicero, With a Sketch of the Greek Philosophers Mentioned by Cicero",-43,1239125,other,
29358,"The Æneids of Virgil, Done into English Verse",-19,687102,other,
29441,The Project Gutenberg Works of Plato: An Index,-348,20641,other,
29459,The Project Gutenberg Works of Xenophon: An Index,-355,20347,other,
29510,"An Essay on the Beautiful, from the Greek of Plotinus",270,73807,other,
29904,Thoughts on Art and Life,1519,293886,other,
2995,Tacitus on Germany,117,87177,other,
3012,The Acharnians,-388,101998,other,
3013,The Birds,-388,145338,other,
30201,"In Praise of Folly
Illustrated with Many Curious Cuts",1536,280107,other,
3052,Complete Works of Plutarch — Volume 3: Essays and Miscellanies,119,1633904,other,
3059,The Iliad,-650,897186,other,
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,-406,245206,other,
31036,"The Lovers Assistant; Or, New Art of Love",17,117402,other,
3160,The Odyssey,-650,746439,other,
31900,"Historic Tales: The Romance of Reality. Vol. 13 (of 15), King Arthur (1)",1471,539687,other,
3226,Records of Journeys to Venice and the Low Countries,1528,156991,other,
32292,"Historic Tales: The Romance of Reality. Vol. 14 (of 15), King Arthur (2)",1471,521411,other,
32445,The Pain and Sorrow of Evil Marriage,1534,41233,other,
32464,A Supplication for the Beggars,1531,85407,other,
3296,The Confessions of St. Augustine,430,632209,other,
33022,"Villani's Chronicle
Being Selections from the First Nine Books of the Croniche Fiorentine of Giovanni Villani",1348,901011,other,
3330,The Analects of Confucius (from the Chinese Classics),-479,191716,other,
33815,"The Wisdom of Confucius
with Critical and Biographical Sketches",-479,356664,other,
33896,Dante. An essay. To which is added a translation of De Monarchia.,1321,555807,other,
34125,"The Sarva-Darsana-Samgraha
Or, Review of the Different Systems of Hindu Philosophy",1386,682610,other,
34572,The Awakening of the Soul,1185,145867,other,
35170,The Rhesus of Euripides,-406,121994,other,
35171,The Trojan Women of Euripides,-406,138128,other,
