title,book_id,death_year,plain_text_url,plain_text_extent_bytes
"Oedipus King of Thebes
Translated into English Rhyming Verse with Explanatory Notes",27673,-406,https://www.gutenberg.org/ebooks/27673.txt.utf-8,131798
Treatises on Friendship and Old Age,2808,-43,https://www.gutenberg.org/ebooks/2808.txt.utf-8,187162
Letters of Marcus Tullius Cicero,2812,-43,https://www.gutenberg.org/ebooks/2812.txt.utf-8,253167
The Education of Children,28338,1536,https://www.gutenberg.org/ebooks/28338.txt.utf-8,166747
The Metamorphoses of Publius Ovidus Naso in English blank verse Vols. I & II,28621,17,https://www.gutenberg.org/ebooks/28621.txt.utf-8,765202
The Odyssey,28797,-650,https://www.gutenberg.org/files/28797/28797_readme.txt,24263
"An Introductorie for to Lerne to Read, To Pronounce, and to Speke French Trewly",29068,1535,https://www.gutenberg.org/ebooks/29068.txt.utf-8,557567
Dialogues in French and English,29214,1491,https://www.gutenberg.org/ebooks/29214.txt.utf-8,262577
"The Academic Questions, Treatise De Finibus, and Tusculan Disputations, of M.T. Cicero, With a Sketch of the Greek Philosophers Mentioned by Cicero",29247,-43,https://www.gutenberg.org/ebooks/29247.txt.utf-8,1239125
"The Æneids of Virgil, Done into English Verse",29358,-19,https://www.gutenberg.org/ebooks/29358.txt.utf-8,687102
The Project Gutenberg Works of Plato: An Index,29441,-348,https://www.gutenberg.org/ebooks/29441.txt.utf-8,20641
The Project Gutenberg Works of Xenophon: An Index,29459,-355,https://www.gutenberg.org/ebooks/29459.txt.utf-8,20347
"An Essay on the Beautiful, from the Greek of Plotinus",29510,270,https://www.gutenberg.org/ebooks/29510.txt.utf-8,73807
Thoughts on Art and Life,29904,1519,https://www.gutenberg.org/ebooks/29904.txt.utf-8,293886
Tacitus on Germany,2995,117,https://www.gutenberg.org/ebooks/2995.txt.utf-8,87177
The Acharnians,3012,-388,https://www.gutenberg.org/ebooks/3012.txt.utf-8,101998
The Birds,3013,-388,https://www.gutenberg.org/ebooks/3013.txt.utf-8,145338
"In Praise of Folly
Illustrated with Many Curious Cuts",30201,1536,https://www.gutenberg.org/ebooks/30201.txt.utf-8,280107
Complete Works of Plutarch — Volume 3: Essays and Miscellanies,3052,119,https://www.gutenberg.org/ebooks/3052.txt.utf-8,1633904
The Iliad,3059,-650,https://www.gutenberg.org/ebooks/3059.txt.utf-8,897186
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,31,-406,https://www.gutenberg.org/ebooks/31.txt.utf-8,245206
"The Lovers Assistant; Or, New Art of Love",31036,17,https://www.gutenberg.org/ebooks/31036.txt.utf-8,117402
The Odyssey,3160,-650,https://www.gutenberg.org/ebooks/3160.txt.utf-8,746439
"Historic Tales: The Romance of Reality. Vol. 13 (of 15), King Arthur (1)",31900,1471,https://www.gutenberg.org/ebooks/31900.txt.utf-8,539687
Records of Journeys to Venice and the Low Countries,3226,1528,https://www.gutenberg.org/ebooks/3226.txt.utf-8,156991
"Historic Tales: The Romance of Reality. Vol. 14 (of 15), King Arthur (2)",32292,1471,https://www.gutenberg.org/ebooks/32292.txt.utf-8,521411
The Pain and Sorrow of Evil Marriage,32445,1534,https://www.gutenberg.org/ebooks/32445.txt.utf-8,41233
A Supplication for the Beggars,32464,1531,https://www.gutenberg.org/ebooks/32464.txt.utf-8,85407
The Confessions of St. Augustine,3296,430,https://www.gutenberg.org/ebooks/3296.txt.utf-8,632209
"Villani's Chronicle
Being Selections from the First Nine Books of the Croniche Fiorentine of Giovanni Villani",33022,1348,https://www.gutenberg.org/ebooks/33022.txt.utf-8,901011
The Analects of Confucius (from the Chinese Classics),3330,-479,https://www.gutenberg.org/ebooks/3330.txt.utf-8,191716
"The Wisdom of Confucius
with Critical and Biographical Sketches",33815,-479,https://www.gutenberg.org/ebooks/33815.txt.utf-8,356664
Dante. An essay. To which is added a translation of De Monarchia.,33896,1321,https://www.gutenberg.org/ebooks/33896.txt.utf-8,555807
"The Sarva-Darsana-Samgraha
Or, Review of the Different Systems of Hindu Philosophy",34125,1386,https://www.gutenberg.org/ebooks/34125.txt.utf-8,682610
The Awakening of the Soul,34572,1185,https://www.gutenberg.org/ebooks/34572.txt.utf-8,145867
The Rhesus of Euripides,35170,-406,https://www.gutenberg.org/ebooks/35170.txt.utf-8,121994
The Trojan Women of Euripides,35171,-406,https://www.gutenberg.org/ebooks/35171.txt.utf-8,138128
The Bacchae of Euripides,35173,-406,https://www.gutenberg.org/ebooks/35173.txt.utf-8,133421
"Rubáiyát of Omar Khayyam, Rendered into English Verse",35260,1122,https://www.gutenberg.org/ebooks/35260.txt.utf-8,134921
Medea of Euripides,35451,-406,https://www.gutenberg.org/ebooks/35451.txt.utf-8,146311
The Chronicle of the Discovery and Conquest of Guinea. Vol. I,35738,1473,https://www.gutenberg.org/ebooks/35738.txt.utf-8,482456
The Chronicle of the Discovery and Conquest of Guinea. Vol. II,35764,1473,https://www.gutenberg.org/ebooks/35764.txt.utf-8,802171
"Letters of Abelard and Heloise
To which is prefix'd a particular account of their lives, amours, and misfortunes",35977,1142,https://www.gutenberg.org/ebooks/35977.txt.utf-8,292560
King Arthur and the Knights of the Round Table,36462,1471,https://www.gutenberg.org/ebooks/36462.txt.utf-8,555153
St. Dionysius of Alexandria: Letters and Treatises,36539,265,https://www.gutenberg.org/files/36539/36539-0.txt,213706
The Book of the Duke of True Lovers,36737,1430,https://www.gutenberg.org/files/36737/36737-0.txt,195832
"The Letters of Amerigo Vespucci, and Other Documents Illustrative of His Career",36924,1506,https://www.gutenberg.org/ebooks/36924.txt.utf-8,331659
Of the Just Shaping of Letters,37103,1528,https://www.gutenberg.org/ebooks/37103.txt.utf-8,76010
"The Decameron, Volume I",3726,1375,https://www.gutenberg.org/ebooks/3726.txt.utf-8,789037
"Arguments of Celsus, Porphyry, and the Emperor Julian, Against the Christians
Also Extracts from Diodorus Siculus, Josephus, and Tacitus, Relating to the Jews, Together with an Appendix",37696,117,https://www.gutenberg.org/ebooks/37696.txt.utf-8,185774
The White Knight: Tirant Lo Blanc,378,1468,https://www.gutenberg.org/ebooks/378.txt.utf-8,904379
L. Annaeus Seneca on Benefits,3794,65,https://www.gutenberg.org/ebooks/3794.txt.utf-8,476947
Vidyāpati: Bangīya padābali; songs of the love of Rādhā and Krishna,38174,1448,https://www.gutenberg.org/ebooks/38174.txt.utf-8,189462
Bede's Ecclesiastical History of England,38326,735,https://www.gutenberg.org/files/38326/38326-0.txt,1094636
"The Homilies of the Anglo-Saxon Church
Containing the Sermones Catholici, or Homilies of Ælfric, in the Original Anglo-Saxon, with an English Version. Volume I.",38334,1019,https://www.gutenberg.org/ebooks/38334.txt.utf-8,1293304
